2	start mailnew crash aix 	click messeng aix build crash 	SeaMonkey	MailNews: Message Display	P1	jdunn	jdunn jdunn lchiang leger leger jdunn jdunn jdunn jdunn R6Agent jdunn jdunn jdunn jdunn jdunn jdunn jdunn jdunn jdunn netscape jdunn blizzard jdunn 	FIXED
1	panel window empti add panel sidebar 	today s linux mozilla build instal launch browser click custom button sidebar open panel window observ window empti expect panel list 	SeaMonkey	Sidebar	P1	slamm	shrir granrosebugs sspitzer waterson waterson thaths slamm shrir paulmac slamm slamm paulmac paulmac rspain 	FIXED
3	mlk leak uri wallet loc 	nsiuri freed wallet loc number return classic case need nscomptr malloc pl strndup extractstr nsstdurlpars parseatschem const char char char char char int char nsstdurl pars const char nsstdurl setspec const char nschromeprotocolhandl newuri const char nsiuri nsiuri nsioservic newuri const char nsiuri nsiuri nsiprotocolhandler nsioservic newuri const char nsiuri nsiuri wallet loc char si checkgetpassword unsign short const unsign short int singsign promptpassword nswalletlibservic promptpasswordurl const unsign short unsign short const char int nsiprompt int nswebshellwindow promptpassword const char int const unsign short const unsign short unsign short int nsmsgincomingserv getpasswordwithui const unsign short const unsign short nsimsgwindow char nspop protocol getpassword char nspop protocol sendpassword nspop protocol processprotocolst nsiuri nsiinputstream unsign int unsign int nsmsgprotocol ondataavail nsichannel nsisupports nsiinputstream unsign int unsign int nsondataavailableev handleev nsstreamlistenerev handleplev plevent pl handleev pl processpendingev nseventqueueimpl processpendingev nsmacnspreventqueuehandl repeatact const eventrecord repeat dorepeat const eventrecord nsmacmessagepump dispatchev int eventrecord nsmacmessagepump domessagepump nsappshel run nsappshellservic run 	SeaMonkey	Passwords & Permissions	P3	morse	bruce morse bugzilla morse bugzilla bugzilla 	FIXED
4	default central european font good 	default font variable width central european charset monospac good helvetica time 	SeaMonkey	Preferences	P3	erik	illich matt erik bugzilla erik erik 	FIXED
3	write nshtmleditorlog version tabl edit method 	ad tabl edit method neglect write log method 	SeaMonkey	Composer	--	nobody	cmanske cmanske rubydoo123 rubydoo123 rubydoo123 cmanske cmanske cmanske rubydoo123 cmanske slogan rubydoo123 arunprasannan standard8 philip.chee 	FIXED
3	larg email messag render slowli 	platform netscap preview run windowsnt workstat sp open larg email messag cron job output tripwir report long second delay gui block email messag render delet move piec mail question read wait render time take render significantli slower commun commun pretti slow 	SeaMonkey	MailNews: Message Display	P3	mscott	darrell_michaud lchiang mscott lchiang mscott darrell_michaud darrell_michaud 	FIXED
3	ja orang gif center side bar panel rakuten ichiba produc page found error click sidebar pannel 	bugzilla helper user ag mozilla window nt buildid reproduc step reproduc click orang gif center rakuten ichiba side bar panel result page found error 	SeaMonkey	Sidebar	P2	momoi	rspain lbaliman lbaliman lbaliman momoi momoi momoi momoi rspain rspain 	FIXED
4	receiv messag header download messag header 	http lxr mozilla org seamonkey source include allxpstr h http lxr mozilla org seamonkey source include allxpstr h messag capit read receiv messag header lu lu receiv messag flag lu lu 	SeaMonkey	MailNews: Message Display	P3	tmeader	bugzilla scottputterman bugzilla bugzilla stephend bugzilla maolson jag-mozbugs maolson mscott jag-mozbugs bugzilla bugzilla bugzilla bugzilla hwaara bugzilla timeless bugzilla maolson bugzilla tmeader tmeader tmeader mscott mscott mscott mnyromyr mnyromyr 	FIXED
3	profil manag xml pars error 	build attempt start profil manag produc error xml pars error undefin entiti line number column checkbox id offlinest value offlinestate label accesskey offlinestate accesskey 	SeaMonkey	Startup & Profiles	P3	bugs	jay bugs jay 	FIXED
4	open instanc custom search dialog 	build id instanc custom search dialog open custom button sidebar search panel dialog display behavior custom sidebar dialog access sidebar add button instanc dialog open user request open already open instanc foreground 	SeaMonkey	Search	--	nobody	bugzilla timeless bugzilla matt bugzilla bugzilla alecf bugzilla timeless mozillamarcia.knous bugzilla danm.moz bugzilla danm.moz jpm bugzilla philip.chee 	FIXED
3	feedback window open subject view 	mac platform mail subject view doubl click messag order open window take open visual indic happen cursor chang subject line flash end doubl click 	SeaMonkey	MailNews: Message Display	P3	scottputterman	mozeditor mozeditor 	FIXED
4	click sidebar tab set focu sidebar page widget 	build id click tab sidebar focu switch sidebar page widget panel pag import coupl way select text sidebar panel select text websit load adjac viewport select sidebar panel unfocus gray refocu easili futur easi fix imagin hard 	SeaMonkey	Sidebar	P3	neil	bugzilla bugzilla jruderman matt shrir german jruderman paulkchen german paulkchen vishy kmurray1115 vishy paulkchen verbal vishy jruderman trudelle rivanvx timeless neil p_ch p_ch neil alecf neil p_ch neil 	FIXED
3	sidebar link open compos window 	similar bug fact outcom reproduc open compos click link sidebar ve comm build click aol stock link stock panel watch link open compos window matter browser window open effect im bugscap bug chat window ve test comm bit winnt linux 	SeaMonkey	Sidebar	P1	sfraser_bugs	jelwell shrir trudelle trudelle danm.moz buster johng clayton trudelle danm.moz trudelle jelwell trudelle michaell danm.moz danm.moz sfraser_bugs trudelle phil phil danm.moz trudelle sfraser_bugs danm.moz jelwell danm.moz jelwell jelwell danm.moz sfraser_bugs jelwell sfraser_bugs sfraser_bugs trudelle bijals sfraser_bugs sfraser_bugs sfraser_bugs mscott sfraser_bugs jelwell vishy sfraser_bugs trudelle brade vishy mscott sfraser_bugs phil sfraser_bugs sfraser_bugs mscott sfraser_bugs vishy shrir asa neil neil brade neil jst neil neil asa brade 	FIXED
4	messag count mail folder tab doesnt updat 	bugzilla helper user ag mozilla x linux i en u m gecko buildid messag read count mail folder tab folder wont updat chang folder reproduc step reproduc folder unread messag mark isnt highlight unread click messag bring read unread toggl actual result unread messag wont chang click folder expect result decreas messag count click read unread toggl 	SeaMonkey	MailNews: Message Display	P3	sspitzer	rmosher fenella scottputterman scottputterman hwaara sheelar scottputterman seanpor mfedyk rmosher 	FIXED
5	mailtasksoverlay xul abus script script 	move script language javascript cdata script j file 	SeaMonkey	MailNews: Message Display	--	mail	timeless morse bugzillamozillaorg_serge_20140323 ewong philip.chee 	FIXED
